fileName,title,subtitle,description
https://editor.p5js.org/eta_car1nae/full/CVmwThnw8,Squares Of Light,/or was it dark/,This draws squares of light!
https://editor.p5js.org/eta_car1nae/full/Za3KX3uWt,Net Clock,/geddit/,A clock with a net!
https://editor.p5js.org/eta_car1nae/full/RUzgcYars,Prime Maurer Rose,/or a butterfly/,Mesmerizing deterministic patterns!
https://editor.p5js.org/eta_car1nae/full/juXVpd04U,Starfield,/hyperspace/,Inspired by Star Wars!
https://editor.p5js.org/eta_car1nae/full/CCpzi3vPr,Chaos Laser,/bringer of light/,Inspired by @CodeRGB on Instagram!
https://editor.p5js.org/eta_car1nae/full/dn8a_GkWX,Archimedes Spiral,/wait for it/,Evolution of shapes!
https://editor.p5js.org/eta_car1nae/full/EVEtUdSbN,Sky Drizzle,/let it rain/,Bingeworthy stare!
https://editor.p5js.org/eta_car1nae/full/c8_EFgugN,Starfield Black Hole,/deep space/,Gravitational lensing!
https://editor.p5js.org/eta_car1nae/full/JIbeez0nI,Archimedes Shapes,/in and out/,Elementary tornado!
https://editor.p5js.org/eta_car1nae/full/6YRBDMLM-,Projection Clock,/linear chronogebra/,Definitely math! Thanks: Dr. MacDonald.
https://editor.p5js.org/eta_car1nae/full/365-PGEYl,Ephemeral Waters,/flow field grid/,Smooth gradient flow!
https://editor.p5js.org/eta_car1nae/full/FMWxwQXSb,Waves In Space,/electromagnetic spectrum/,Looks like a swinging wall of spikes!
https://editor.p5js.org/eta_car1nae/full/JdBAMY2OV,Cherry Blossoms,/is it March already/,Procedural landscaping!
https://editor.p5js.org/eta_car1nae/full/gAxy7MIgB,Abstract Shapes,/one of the first/,It's all in the details!
https://editor.p5js.org/eta_car1nae/full/-rGN8n-7J,Prime Spiral,/stanislaw ulam/,Unity in diversity!
https://editor.p5js.org/eta_car1nae/full/WNnC_25wP,Segmented Lines,/from a notebook/,Replicating a physical pencil!
https://editor.p5js.org/eta_car1nae/full/VHxUSPiYJ,Shaping,/dimensions/,Who knew randomness had such structure?
https://editor.p5js.org/eta_car1nae/full/jrngsSH01,Communication,/am i getting through/,Would've been useful in my first relationship!
https://editor.p5js.org/eta_car1nae/full/ye8_Xx7sB,River Of Dirichlet,/wild card/,To this day I have no clue how I got here!
